Student_ID,Course_Code,Term,Grade,Credits
S001,cs101,2024-Fall,A,3
S002,cs102,2024-Fall,B,3
S003,cs103,2024-Fall,A,3
S004,cs104,2024-Fall,B,3
S005,,2024-Fall,A,3
,cs106,,B,3
S007,cs107,2024-Fall,,3
S008,cs108,2024-Fall,B,
S009,cs109,2024-Fall,A,3
S010,cs110,2024-Fall,B,3
S011,,2024-Fall,A,
S012,cs104,,B,3
S013,.,2024-Fall,B,3
S014,cs108,,B,
S015,cs102,,B,3
S016,cs103,,A,3
S017,cs103,,A,3
,cs106,,B,3
S019,cs109,,A,
S020,cs104,2024-Fall,B,3
S021,cs102,,B,3
S022,cs103,2024-Fall,A,3
S023,cs102,,,3
S024,cs104,2024-Fall,B,3
S025,cs102,2024-Fall,B,3
S026,cs106,,B,3
S027,cs104,2024-Fall,,3
S028,cs109,2024-Fall,A,
S029,,2024-Fall,A,3
S030,cs107,2024-Fall,,3
S031,cs110,,B,3
S032,cs107,2024-Fall,,3
S033,cs103,,A,3
S034,,,B,3
S035,cs101,2024-Fall,A,3
S036,cs107,2024-Fall,,3
S037,cs103,2024-Fall,A,3
S038,cs106,,B,3
S039,,2024-Fall,B,3
S040,,,A,3
S041,cs102,,B,3
S042,cs110,2024-Fall,B,3
S043,cs103,2024-Fall,,3
S044,cs104,,,3
S045,cs102,2024-Fall,B,
S046,,2024-Fall,B,3
S047,cs106,,B,3
S048,,,,3
S049,cs101,2024-Fall,A,3
S050,,,B,
S051,cs109,,,
S052,cs104,2023-Fall,A,3
S053,cs102,2024-Fall,C,
S054,PB101,2022-Fall,B,3
S055,cs102,2025-Fall,A,3
S056,cs104,,D,3
S057,,,C,
S058,stat500,?,C,3
S059,stat601,,,3
S060,,,A,
